"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","SAU","Saudi Arabia","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.06884036053476,,
"CPALTT01","Consumer prices: all items","SVN","Slovenia","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.199343826570893,,
"CPALTT01","Consumer prices: all items","SVN","Slovenia","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.525552285820862,,
"CPALTT01","Consumer prices: all items","SVN","Slovenia","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.05499954167048,,
"CPALTT01","Consumer prices: all items","ZAF","South Africa","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.12983770287144,,
"CPALTT01","Consumer prices: all items","ZAF","South Africa","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,4.54064227737912,,
"CPALTT01","Consumer prices: all items","ZAF","South Africa","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,6.57139642173962,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.487922705314,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.5083667216592,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.27699094497329,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.60580560487915,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.896565286860077,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.891592367302709,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.340002833356929,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.561429152790128,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.97385264653172,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.90663590717873,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.1252413609428,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.4287595470108,,
"CPALTT01","Consumer prices: all items","CZE","Czech Republic","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.343988589646767,,
"CPALTT01","Consumer prices: all items","CZE","Czech Republic","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.309364548494994,,
"CPALTT01","Consumer prices: all items","CZE","Czech Republic","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.683504209385704,,
"CPALTT01","Consumer prices: all items","DNK","Denmark","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.564020540449527,,
"CPALTT01","Consumer prices: all items","DNK","Denmark","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.452034153691607,,
"CPALTT01","Consumer prices: all items","DNK","Denmark","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.250000000000028,,
"CPALTT01","Consumer prices: all items","FIN","Finland","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.04120000617923,,
"CPALTT01","Consumer prices: all items","FIN","Finland","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.207932040461464,,
"CPALTT01","Consumer prices: all items","FIN","Finland","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.356684500891694,,
"CPALTT01","Consumer prices: all items","FRA","France","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.507758822937963,,
"CPALTT01","Consumer prices: all items","FRA","France","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.0375143805125534,,
"CPALTT01","Consumer prices: all items","FRA","France","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.183334861123878,,
"CPALTT01","Consumer prices: all items","DEU","Germany","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.90679703516796,,
"CPALTT01","Consumer prices: all items","DEU","Germany","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.514421011587011,,
"CPALTT01","Consumer prices: all items","DEU","Germany","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.49174862477083,,
"CPALTT01","Consumer prices: all items","GRC","Greece","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,-1.31224241022506,,
"CPALTT01","Consumer prices: all items","GRC","Greece","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,-1.73590237199746,,
"CPALTT01","Consumer prices: all items","GRC","Greece","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.825657589847188,,
"CPALTT01","Consumer prices: all items","HUN","Hungary","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.227566270988392,,
"CPALTT01","Consumer prices: all items","HUN","Hungary","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.0616446800641037,,
"CPALTT01","Consumer prices: all items","HUN","Hungary","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.394769306686411,,
"CPALTT01","Consumer prices: all items","ISL","Iceland","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.0446189470023,,
"CPALTT01","Consumer prices: all items","ISL","Iceland","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.63305848405644,,
"CPALTT01","Consumer prices: all items","ISL","Iceland","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.69693023695575,,
"CPALTT01","Consumer prices: all items","IRL","Ireland","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.182542316627925,,
"CPALTT01","Consumer prices: all items","IRL","Ireland","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.289879079012778,,
"CPALTT01","Consumer prices: all items","IRL","Ireland","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.00830633773570249,,
"CPALTT01","Consumer prices: all items","ITA","Italy","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.24105754276825,,
"CPALTT01","Consumer prices: all items","ITA","Italy","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.0387867504460633,,
"CPALTT01","Consumer prices: all items","ITA","Italy","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.094021401985132,,
"CPALTT01","Consumer prices: all items","JPN","Japan","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.7,,
"CPALTT01","Consumer prices: all items","JPN","Japan","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.8,,
"CPALTT01","Consumer prices: all items","JPN","Japan","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.1,,
"CPALTT01","Consumer prices: all items","KOR","Korea","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.27477446401325,,
"CPALTT01","Consumer prices: all items","KOR","Korea","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.706331772455686,,
"CPALTT01","Consumer prices: all items","KOR","Korea","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.971685739912204,,
"CPALTT01","Consumer prices: all items","LUX","Luxembourg","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.628543985440706,,
"CPALTT01","Consumer prices: all items","LUX","Luxembourg","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.474743161437791,,
"CPALTT01","Consumer prices: all items","LUX","Luxembourg","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.290833333333307,,
"CPALTT01","Consumer prices: all items","MEX","Mexico","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,4.01861720190995,,
"CPALTT01","Consumer prices: all items","MEX","Mexico","GY","Growth on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,2.72064126257004,,
"CPALTT01","Consumer prices: all items","MEX","Mexico","GY","Growth on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.82170775169716,,
"CPALTT01","Consumer prices: all items","NLD","Netherlands","GY","Growth on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.976035079699632,,
